Sr No	Gene ID	Specie	Gene name	Gene Description
S000005716	YOR190W	S. cerevisiae	SPR1	SPorulation Regulated
S000005717	YOR191W	S. cerevisiae	ULS1	Ubiquitin Ligase for SUMO conjugates
S000005718	YOR192C	S. cerevisiae	THI72	THI7 homolog 2
S000005720	YOR194C	S. cerevisiae	TOA1	
S000005722	YOR196C	S. cerevisiae	LIP5	LIPoic acid
S000005723	YOR197W	S. cerevisiae	MCA1	MetaCAspase
S000005724	YOR198C	S. cerevisiae	BFR1	BreFeldin A Resistance
S000005727	YOR201C	S. cerevisiae	MRM1	Mitochondrial rRNA Methyltransferase
S000005728	YOR202W	S. cerevisiae	HIS3	HIStidine
S000005730	YOR204W	S. cerevisiae	DED1	Defines Essential Domain
S000005732	YOR206W	S. cerevisiae	NOC2	NucleOlar Complex associated
S000005733	YOR207C	S. cerevisiae	RET1	Reduced Efficiency of Termination
S000005734	YOR208W	S. cerevisiae	PTP2	Protein Tyrosine Phosphatase
S000005735	YOR209C	S. cerevisiae	NPT1	Nicotinate PhosphoribosylTransferase
S000005736	YOR210W	S. cerevisiae	RPB10	RNA Polymerase B
S000005737	YOR211C	S. cerevisiae	MGM1	Mitochondrial Genome Maintenance
S000005738	YOR212W	S. cerevisiae	STE4	STErile
S000005739	YOR213C	S. cerevisiae	SAS5	Something About Silencing
S000005742	YOR216C	S. cerevisiae	RUD3	Relieves Uso1-1 transport Defect
S000005743	YOR217W	S. cerevisiae	RFC1	Replication Factor C
S000005745	YOR219C	S. cerevisiae	STE13	STErile
S000005747	YOR221C	S. cerevisiae	MCT1	Malonyl-CoA:ACP Transferase
S000005748	YOR222W	S. cerevisiae	ODC2	OxoDicarboxylate Carrier
S000005749	YOR223W	S. cerevisiae	DSC3	Defective for SREBP Cleavage
S000005750	YOR224C	S. cerevisiae	RPB8	RNA Polymerase B
S000005752	YOR226C	S. cerevisiae	ISU2	IscU homolog
S000005753	YOR227W	S. cerevisiae	HER1	Hmg2p ER Remodeling
S000005754	YOR228C	S. cerevisiae	MCP1	Mdm10 Complementing Protein
S000005755	YOR229W	S. cerevisiae	WTM2	WD repeat containing Transcriptional Modulator
S000005756	YOR230W	S. cerevisiae	WTM1	WD repeat containing Transcriptional Modulator
S000005757	YOR231W	S. cerevisiae	MKK1	Mitogen-activated protein Kinase-Kinase
S000005758	YOR232W	S. cerevisiae	MGE1	Mitochondrial GrpE
S000005759	YOR233W	S. cerevisiae	KIN4	KINase
S000005760	YOR234C	S. cerevisiae	RPL33B	Ribosomal Protein of the Large subunit
S000005762	YOR236W	S. cerevisiae	DFR1	DihydroFolate Reductase
S000005763	YOR237W	S. cerevisiae	HES1	Homologous to kES1
S000005764	YOR238W	S. cerevisiae		
S000005765	YOR239W	S. cerevisiae	ABP140	Actin Binding Protein
S000005767	YOR241W	S. cerevisiae	MET7	METhionine requiring
S000005768	YOR242C	S. cerevisiae	SSP2	Sporulation SPecific
S000005769	YOR243C	S. cerevisiae	PUS7	PseudoUridine Synthase
S000005770	YOR244W	S. cerevisiae	ESA1	
S000005771	YOR245C	S. cerevisiae	DGA1	DiacylGlycerol Acyltransferase
S000005772	YOR246C	S. cerevisiae	ENV9	late ENdosome and Vacuole interface function
S000005776	YOR250C	S. cerevisiae	CLP1	CLeavage/Polyadenylation factor Ia subunit
S000005777	YOR251C	S. cerevisiae	TUM1	ThioUridine Modification
S000005778	YOR252W	S. cerevisiae	TMA16	Translation Machinery Associated
S000005779	YOR253W	S. cerevisiae	NAT5	N-terminal AcetylTransferase
S000005780	YOR254C	S. cerevisiae	SEC63	SECretory
S000005782	YOR256C	S. cerevisiae	TRE2	Transferrrin REceptor like
S000005783	YOR257W	S. cerevisiae	CDC31	Cell Division Cycle
S000005784	YOR258W	S. cerevisiae	HNT3	Histidine triad NucleoTide-binding
S000005785	YOR259C	S. cerevisiae	RPT4	Regulatory Particle Triple-A protein, or Regulatory Particle Triphosphatase
S000005786	YOR260W	S. cerevisiae	GCD1	General Control Derepressed
S000005787	YOR261C	S. cerevisiae	RPN8	Regulatory Particle Non-ATPase
S000005788	YOR262W	S. cerevisiae	GPN2	Gly-Pro-Asn (N) motif
S000005791	YOR265W	S. cerevisiae	RBL2	Rescues Beta-tubulin Lethality
S000005793	YOR267C	S. cerevisiae	HRK1	Hygromycin Resistance Kinase
S000005795	YOR269W	S. cerevisiae	PAC1	Perish in the Absence of Cin8p
S000005796	YOR270C	S. cerevisiae	VPH1	Vacuolar pH
S000005797	YOR271C	S. cerevisiae	FSF1	Fungal SideroFlexin 1
S000005798	YOR272W	S. cerevisiae	YTM1	
S000005799	YOR273C	S. cerevisiae	TPO4	Transporter of POlyamines
S000005801	YOR275C	S. cerevisiae	RIM20	Regulator of IME2
S000005804	YOR278W	S. cerevisiae	HEM4	HEMe biosynthesis
S000005806	YOR280C	S. cerevisiae	FSH3	Family of Serine Hydrolases
S000005807	YOR281C	S. cerevisiae	PLP2	Phosducin-Like Protein
S000005809	YOR283W	S. cerevisiae		
S000005811	YOR285W	S. cerevisiae	RDL1	RhoDanese-Like protein
S000005812	YOR286W	S. cerevisiae	RDL2	RhoDanese-Like protein
S000005813	YOR287C	S. cerevisiae	RRP36	Ribosomal RNA Processing
S000005814	YOR288C	S. cerevisiae	MPD1	Multicopy suppressor of PDI1 deletion
S000005815	YOR289W	S. cerevisiae		
S000005816	YOR290C	S. cerevisiae	SNF2	Sucrose NonFermenting
S000005817	YOR291W	S. cerevisiae	YPK9	Yeast ParK9
S000005818	YOR292C	S. cerevisiae		
S000005819	YOR293W	S. cerevisiae	RPS10A	Ribosomal Protein of the Small subunit
S000005820	YOR294W	S. cerevisiae	RRS1	Regulator of Ribosome Synthesis
S000005821	YOR295W	S. cerevisiae	UAF30	Upstream Activation Factor subunit
S000005822	YOR296W	S. cerevisiae		
S000005823	YOR297C	S. cerevisiae	TIM18	Translocase of the Inner Mitochondrial membrane
S000005825	YOR299W	S. cerevisiae	BUD7	BUD site selection
S000005827	YOR301W	S. cerevisiae	RAX1	Revert to Axial
S000005829	YOR303W	S. cerevisiae	CPA1	Carbamyl Phosphate synthetase A
S000005831	YOR304W	S. cerevisiae	ISW2	Imitation SWitch subfamily
S000005832	YOR305W	S. cerevisiae	RRG7	Required for Respiratory Growth
S000005833	YOR306C	S. cerevisiae	MCH5	MonoCarboxylate transporter Homolog
S000005834	YOR307C	S. cerevisiae	SLY41	Suppressor of Loss of Ypt1
S000005837	YOR310C	S. cerevisiae	NOP58	NucleOlar Protein of 58 kDa
S000005838	YOR311C	S. cerevisiae	DGK1	DiacylGlycerol Kinase
S000005839	YOR312C	S. cerevisiae	RPL20B	Ribosomal Protein of the Large subunit
S000005840	YOR313C	S. cerevisiae	SPS4	SPorulation Specific trancript
S000005843	YOR316C	S. cerevisiae	COT1	CObalt Toxicity
S000005844	YOR317W	S. cerevisiae	FAA1	Fatty Acid Activation
S000005846	YOR319W	S. cerevisiae	HSH49	Human Sap Homolog
S000005847	YOR320C	S. cerevisiae	GNT1	GlcNAc Transferase
S000005848	YOR321W	S. cerevisiae	PMT3	Protein O-MannosylTransferase
S000005850	YOR323C	S. cerevisiae	PRO2	PROline requiring
S000005853	YOR326W	S. cerevisiae	MYO2	MYOsin
S000005854	YOR327C	S. cerevisiae	SNC2	Suppressor of the Null allele of CAP
S000005855	YOR328W	S. cerevisiae	PDR10	Pleiotropic Drug Resistance
S000005857	YOR330C	S. cerevisiae	MIP1	MItochondrial DNA Polymerase
S000005859	YOR332W	S. cerevisiae	VMA4	Vacuolar Membrane Atpase
S000005861	YOR334W	S. cerevisiae	MRS2	Mitochondrial RNA Splicing
S000005862	YOR335C	S. cerevisiae	ALA1	ALAnyl-tRNA synthetase
S000005863	YOR336W	S. cerevisiae	KRE5	Killer toxin REsistant
S000005864	YOR337W	S. cerevisiae	TEA1	Ty Enhancer Activator
S000005865	YOR338W	S. cerevisiae		
S000005866	YOR339C	S. cerevisiae	UBC11	UBiquitin Carrier
S000005867	YOR340C	S. cerevisiae	RPA43	RNA Polymerase A
S000005868	YOR341W	S. cerevisiae	RPA190	RNA Polymerase A
S000005873	YOR346W	S. cerevisiae	REV1	REVersionless
S000005874	YOR347C	S. cerevisiae	PYK2	PYruvate Kinase
S000005875	YOR348C	S. cerevisiae	PUT4	Proline UTilization
S000005878	YOR351C	S. cerevisiae	MEK1	MEiotic Kinase
S000005883	YOR356W	S. cerevisiae	CIR2	Changed Intracellular Redox state
S000005884	YOR357C	S. cerevisiae	SNX3	Sorting NeXin
S000005885	YOR358W	S. cerevisiae	HAP5	Heme Activator Protein
S000005887	YOR360C	S. cerevisiae	PDE2	PhosphoDiEsterase
S000005888	YOR361C	S. cerevisiae	PRT1	PRoTein synthesis
S000005889	YOR362C	S. cerevisiae	PRE10	PRoteinase yscE
S000005892	YOR365C	S. cerevisiae		
S000005894	YOR367W	S. cerevisiae	SCP1	S. cerevisiae CalPonin
S000005895	YOR368W	S. cerevisiae	RAD17	RADiation sensitive
S000005896	YOR369C	S. cerevisiae	RPS12	Ribosomal Protein of the Small subunit
S000005897	YOR370C	S. cerevisiae	MRS6	Mitochondrial RNA Splicing
S000005901	YOR374W	S. cerevisiae	ALD4	ALdehyde Dehydrogenase
S000005902	YOR375C	S. cerevisiae	GDH1	Glutamate DeHydrogenase
S000005905	YOR378W	S. cerevisiae	AMF1	AMmonium Facilitator
S000005907	YOR380W	S. cerevisiae	RDR1	Repressor of Drug Resistance
S000005908	YOR381W	S. cerevisiae	FRE3	Ferric REductase
S000005911	YOR384W	S. cerevisiae	FRE5	Ferric REductase
S000005915	YOR388C	S. cerevisiae	FDH1	Formate DeHydrogenase
S000005916	YOR389W	S. cerevisiae		
S000005917	YOR390W	S. cerevisiae	FEX1	
S000005918	YOR391C	S. cerevisiae	HSP33	Heat-Shock Protein
S000005920	YOR393W	S. cerevisiae	ERR1	Enolase-Related Repeat
S000005922	YPL001W	S. cerevisiae	HAT1	Histone AcetylTransferase
S000005923	YPL002C	S. cerevisiae	SNF8	Sucrose NonFermenting
S000005924	YPL003W	S. cerevisiae	ULA1	Ubiquitin-Like protein Activation
S000005925	YPL004C	S. cerevisiae	LSP1	Long chain bases Stimulate Phosphorylation
S000005927	YPL006W	S. cerevisiae	NCR1	Niemann-pick type C Related
S000005928	YPL007C	S. cerevisiae	TFC8	Transcription Factor C
S000005929	YPL008W	S. cerevisiae	CHL1	CHromosome Loss
S000005930	YPL009C	S. cerevisiae	RQC2	Ribosome Quality control Complex
S000005931	YPL010W	S. cerevisiae	RET3	RETrieval from ER
S000005932	YPL011C	S. cerevisiae	TAF3	TATA binding protein-Associated Factor
S000005933	YPL012W	S. cerevisiae	RRP12	Ribosomal RNA Processing
S000005934	YPL013C	S. cerevisiae	MRPS16	Mitochondrial Ribosomal Protein, Small subunit
S000005936	YPL015C	S. cerevisiae	HST2	Homolog of SIR Two (SIR2)
S000005937	YPL016W	S. cerevisiae	SWI1	SWItching deficient
S000005938	YPL017C	S. cerevisiae	IRC15	Increased Recombination Centers
S000005940	YPL019C	S. cerevisiae	VTC3	Vacuolar Transporter Chaperone
S000005941	YPL020C	S. cerevisiae	ULP1	UbL-specific Protease
S000005943	YPL022W	S. cerevisiae	RAD1	RADiation sensitive
S000005944	YPL023C	S. cerevisiae	MET12	METhionine requiring
S000005947	YPL026C	S. cerevisiae	SKS1	Suppressor Kinase of SNF3
S000005948	YPL027W	S. cerevisiae	SMA1	Spore Membrane Assembly
S000005949	YPL028W	S. cerevisiae	ERG10	ERGosterol biosynthesis
S000005950	YPL029W	S. cerevisiae	SUV3	SUppressor of Var1
S000005951	YPL030W	S. cerevisiae	TRM44	TRna Methyltransferase
S000005952	YPL031C	S. cerevisiae	PHO85	PHOsphate metabolism
S000005953	YPL032C	S. cerevisiae	SVL3	Styryl dye Vacuolar Localization
S000005954	YPL033C	S. cerevisiae	SRL4	Suppressor of Rad53 null Lethality or Suppressor of Rad53 and Lcd1
S000005955	YPL034W	S. cerevisiae		
S000005957	YPL036W	S. cerevisiae	PMA2	Plasma Membrane ATPase
S000005958	YPL037C	S. cerevisiae	EGD1	Enhancer of Gal4 DNA binding
S000005959	YPL038W	S. cerevisiae	MET31	METhionine requiring
S000005961	YPL040C	S. cerevisiae	ISM1	Isoleucyl tRNA Synthetase of Mitochondria
S000005962	YPL041C	S. cerevisiae	MRX11	Mitochondrial oRganization of gene eXpression (MIOREX)
S000005963	YPL042C	S. cerevisiae	SSN3	Suppressor of SNf1
S000005964	YPL043W	S. cerevisiae	NOP4	NucleOlar Protein
S000005966	YPL045W	S. cerevisiae	VPS16	Vacuolar Protein Sorting
S000005967	YPL046C	S. cerevisiae	ELC1	ELongin C
S000005968	YPL047W	S. cerevisiae	SGF11	SaGa associated Factor 11kDa
S000005969	YPL048W	S. cerevisiae	CAM1	Calcium And Membrane-binding protein
S000005971	YPL050C	S. cerevisiae	MNN9	MaNNosyltransferase
S000005972	YPL051W	S. cerevisiae	ARL3	ADP-Ribosylation factor-Like
S000005974	YPL053C	S. cerevisiae	KTR6	Kre Two Related
S000005979	YPL058C	S. cerevisiae	PDR12	Pleiotropic Drug Resistance
S000005980	YPL059W	S. cerevisiae	GRX5	GlutaRedoXin
S000005981	YPL060W	S. cerevisiae	MFM1	Mrs2 Function Modulating factor
S000005982	YPL061W	S. cerevisiae	ALD6	ALdehyde Dehydrogenase
S000005984	YPL063W	S. cerevisiae	TIM50	Translocase of the Inner Mitochondrial membrane
S000005985	YPL064C	S. cerevisiae	CWC27	Complexed With Cef1p
S000005986	YPL065W	S. cerevisiae	VPS28	Vacuolar Protein Sorting
S000005988	YPL067C	S. cerevisiae	HTC1	Histidine Triad with Channel
S000005990	YPL069C	S. cerevisiae	BTS1	Bet Two Suppressor
S000005993	YPL072W	S. cerevisiae	UBP16	UBiquitin-specific Protease
S000005995	YPL074W	S. cerevisiae	YTA6	Yeast Tat-binding Analog
S000005997	YPL076W	S. cerevisiae	GPI2	GlycosylPhosphatidylInositol anchor biosynthesis
S000005999	YPL078C	S. cerevisiae	ATP4	ATP synthase
S000006000	YPL079W	S. cerevisiae	RPL21B	Ribosomal Protein of the Large subunit
S000006002	YPL081W	S. cerevisiae	RPS9A	Ribosomal Protein of the Small subunit
S000006003	YPL082C	S. cerevisiae	MOT1	Modifier of Transcription
S000006004	YPL083C	S. cerevisiae	SEN54	Splicing ENdonuclease
S000006005	YPL084W	S. cerevisiae	BRO1	BCK1-like Resistance to Osmotic shock
S000006007	YPL086C	S. cerevisiae	ELP3	ELongator Protein
S000006008	YPL087W	S. cerevisiae	YDC1	Yeast DihydroCeramidase
S000006009	YPL088W	S. cerevisiae		
S000006011	YPL090C	S. cerevisiae	RPS6A	Ribosomal Protein of the Small subunit
S000006012	YPL091W	S. cerevisiae	GLR1	GLutathione Reductase
S000006013	YPL092W	S. cerevisiae	SSU1	Sensitive to SUlfite
S000006014	YPL093W	S. cerevisiae	NOG1	NucleOlar G-protein
S000006015	YPL094C	S. cerevisiae	SEC62	SECretory
S000006016	YPL095C	S. cerevisiae	EEB1	Ethyl Ester Biosynthesis
S000006017	YPL096W	S. cerevisiae	PNG1	Peptide N-Glycanase
S000006018	YPL097W	S. cerevisiae	MSY1	Mitochondrial aminoacyl-tRNA Synthetase, tyrosine (Y)
S000006019	YPL098C	S. cerevisiae	MGR2	Mitochondrial Genome Required
S000006021	YPL100W	S. cerevisiae	ATG21	AuTophaGy related
S000006022	YPL101W	S. cerevisiae	ELP4	ELongator Protein
S000006024	YPL103C	S. cerevisiae	FMP30	Found in Mitochondrial Proteome
S000006025	YPL104W	S. cerevisiae	MSD1	Mitochondrial aminoacyl-tRNA Synthetase, Aspartate (D)
S000006027	YPL106C	S. cerevisiae	SSE1	Stress Seventy subfamily E
S000006028	YPL107W	S. cerevisiae	DPC25	Delta-Psi dependent mitochondrial import and Cleavage protein of ~25 kDa
S000006030	YPL109C	S. cerevisiae	CQD1	CoQ Distribution
S000006031	YPL110C	S. cerevisiae	GDE1	GlycerophosphoDiEsterase
S000006032	YPL111W	S. cerevisiae	CAR1	Catabolism of ARginine
S000006034	YPL113C	S. cerevisiae		
S000006037	YPL116W	S. cerevisiae	HOS3	Hda One Similar
S000006038	YPL117C	S. cerevisiae	IDI1	Isopentenyl Diphosphate Isomerase
S000006039	YPL118W	S. cerevisiae	MRP51	Mitochondrial Ribosomal Protein
S000006040	YPL119C	S. cerevisiae	DBP1	Dead Box Protein
S000006041	YPL120W	S. cerevisiae	VPS30	Vacuolar Protein Sorting
S000006043	YPL122C	S. cerevisiae	TFB2	Transcription Factor B subunit 2
S000006044	YPL123C	S. cerevisiae	RNY1	RiboNuclease from Yeast
S000006046	YPL125W	S. cerevisiae	KAP120	KAryoPherin
S000006047	YPL126W	S. cerevisiae	NAN1	Net1 Associated Nuclear protein
S000006048	YPL127C	S. cerevisiae	HHO1	Histone H One
S000006049	YPL128C	S. cerevisiae	TBF1	TTAGGG repeat-Binding Factor
S000006050	YPL129W	S. cerevisiae	TAF14	TATA binding protein-Associated Factor
S000006052	YPL131W	S. cerevisiae	RPL5	Ribosomal Protein of the Large subunit
S000006053	YPL132W	S. cerevisiae	COX11	Cytochrome c OXidase
S000006054	YPL133C	S. cerevisiae	RDS2	Regulator of Drug Sensitivity
S000006055	YPL134C	S. cerevisiae	ODC1	OxoDicarboxylate Carrier
S000006056	YPL135W	S. cerevisiae	ISU1	IScU homolog
S000006058	YPL137C	S. cerevisiae	GIP3	Glc7 Interacting Protein
S000006059	YPL138C	S. cerevisiae	SPP1	Set1c, Phd finger Protein
S000006060	YPL139C	S. cerevisiae	UME1	Unscheduled Meiotic gene Expression
S000006061	YPL140C	S. cerevisiae	MKK2	Mitogen-activated Kinase Kinase
S000006062	YPL141C	S. cerevisiae	FRK1	Fatty acyl-CoA synthetase and RNA processing-associated Kinase
S000006064	YPL143W	S. cerevisiae	RPL33A	Ribosomal Protein of the Large subunit
S000006066	YPL145C	S. cerevisiae	KES1	KrE11-1 Suppressor
S000006067	YPL146C	S. cerevisiae	NOP53	NucleOlar Protein
S000006068	YPL147W	S. cerevisiae	PXA1	PeroXisomal ABC-transporter
S000006070	YPL149W	S. cerevisiae	ATG5	AuTophaGy related
S000006071	YPL150W	S. cerevisiae		
S000006072	YPL151C	S. cerevisiae	PRP46	Pre-mRNA Processing
S000006073	YPL152W	S. cerevisiae	RRD2	Resistant to Rapamycin Deletion
S000006074	YPL153C	S. cerevisiae	RAD53	RADiation sensitive
S000006075	YPL154C	S. cerevisiae	PEP4	carboxyPEPtidase Y-deficient
S000006076	YPL155C	S. cerevisiae	KIP2	KInesin related Protein
S000006078	YPL157W	S. cerevisiae	TGS1	TrimethylGuanosine Synthase
S000006081	YPL160W	S. cerevisiae	CDC60	Cell Division Cycle
S000006083	YPL162C	S. cerevisiae		
S000006085	YPL164C	S. cerevisiae	MLH3	MutL Homolog
S000006088	YPL167C	S. cerevisiae	REV3	REVersionless
S000006090	YPL169C	S. cerevisiae	MEX67	Messenger RNA EXport factor of 67 kDa
S000006091	YPL170W	S. cerevisiae	DAP1	DAmage resistance Protein
S000006092	YPL171C	S. cerevisiae	OYE3	Old Yellow Enzyme
S000006093	YPL172C	S. cerevisiae	COX10	Cytochrome c OXidase
S000006094	YPL173W	S. cerevisiae	MRPL40	Mitochondrial Ribosomal Protein, Large subunit
S000006095	YPL174C	S. cerevisiae	NIP100	Nuclear ImPort
S000006096	YPL175W	S. cerevisiae	SPT14	SuPpressor of Ty
S000006097	YPL176C	S. cerevisiae	TRE1	Transferrin REceptor like
S000006099	YPL178W	S. cerevisiae	CBC2	Cap Binding Complex
S000006100	YPL179W	S. cerevisiae	PPQ1	Protein Phosphatase Q
S000006104	YPL183C	S. cerevisiae	RTT10	Regulator of Ty1 Transposition
S000006105	YPL184C	S. cerevisiae	MRN1	Multicopy supressor of rsc nhp6
S000006108	YPL187W	S. cerevisiae	MF(ALPHA)1	Mating Factor ALPHA
S000006109	YPL188W	S. cerevisiae	POS5	PerOxide Sensitive
S000006110	YPL189W	S. cerevisiae	GUP2	Glycerol UPtake
S000006111	YPL190C	S. cerevisiae	NAB3	Nuclear polyAdenylated RNA-Binding
S000006112	YPL191C	S. cerevisiae	MIY2	MINDY deubiquitinase in yeast
S000006116	YPL195W	S. cerevisiae	APL5	clathrin Adaptor Protein complex Large chain
S000006117	YPL196W	S. cerevisiae	OXR1	OXidation Resistance
S000006119	YPL198W	S. cerevisiae	RPL7B	Ribosomal Protein of the Large subunit
S000006120	YPL199C	S. cerevisiae		
S000006124	YPL203W	S. cerevisiae	TPK2	Takashi's Protein Kinase
S000006125	YPL204W	S. cerevisiae	HRR25	HO and Radiation Repair
S000006127	YPL206C	S. cerevisiae	PGC1	Phosphatidyl Glycerol phospholipase C
S000006128	YPL207W	S. cerevisiae	TYW1	Trna-YW synthesizing protein
S000006129	YPL208W	S. cerevisiae	RKM1	Ribosomal lysine (K) Methyltransferase
S000006130	YPL209C	S. cerevisiae	IPL1	Increase in PLoidy
S000006131	YPL210C	S. cerevisiae	SRP72	Signal Recognition Particle
S000006132	YPL211W	S. cerevisiae	NIP7	Nuclear ImPort
S000006133	YPL212C	S. cerevisiae	PUS1	PseudoUridine Synthase
S000006134	YPL213W	S. cerevisiae	LEA1	Looks Exceptionally like U2A
S000006135	YPL214C	S. cerevisiae	THI6	THIamine biosynthesis
S000006136	YPL215W	S. cerevisiae	CBP3	Cytochrome B mRNA Processing
S000006137	YPL216W	S. cerevisiae		
S000006138	YPL217C	S. cerevisiae	BMS1	BMh Sensitive
S000006139	YPL218W	S. cerevisiae	SAR1	Secretion-Associated, Ras-related
S000006141	YPL220W	S. cerevisiae	RPL1A	Ribosomal Protein of the Large subunit
S000006142	YPL221W	S. cerevisiae	FLC1	FLavin Carrier
S000006143	YPL222W	S. cerevisiae	FMP40	Found in Mitochondrial Proteome
S000006145	YPL224C	S. cerevisiae	MMT2	Mitochondrial Metal Transporter
S000006146	YPL225W	S. cerevisiae		
S000006147	YPL226W	S. cerevisiae	NEW1	Nu+
S000006148	YPL227C	S. cerevisiae	ALG5	Asparagine-Linked Glycosylation
S000006149	YPL228W	S. cerevisiae	CET1	Capping Enzyme Triphosphatase
S000006152	YPL231W	S. cerevisiae	FAS2	Fatty Acid Synthetase
S000006153	YPL232W	S. cerevisiae	SSO1	Supressor of Sec One
S000006154	YPL233W	S. cerevisiae	NSL1	Nnf1 Synthetic Lethal
S000006155	YPL234C	S. cerevisiae	VMA11	Vacuolar Membrane Atpase
S000006156	YPL235W	S. cerevisiae	RVB2	RuVB-like
S000006157	YPL236C	S. cerevisiae	ENV7	late ENdosome and Vacuole interface function
S000006158	YPL237W	S. cerevisiae	SUI3	SUppressor of Initiator codon
S000006160	YPL239W	S. cerevisiae	YAR1	Yeast Ankyrin Repeat
S000006161	YPL240C	S. cerevisiae	HSP82	Heat Shock Protein
S000006163	YPL242C	S. cerevisiae	IQG1	IQGAP-related protein
S000006164	YPL243W	S. cerevisiae	SRP68	Signal Recognition Particle
S000006165	YPL244C	S. cerevisiae	HUT1	Homolog of UDP-galactose Transporter
S000006167	YPL246C	S. cerevisiae	RBD2	
S000006168	YPL247C	S. cerevisiae		
S000006169	YPL248C	S. cerevisiae	GAL4	GALactose metabolism
S000006170	YPL249C	S. cerevisiae	GYP5	Gtpase-activating protein for Ypt Proteins
S000006173	YPL252C	S. cerevisiae	YAH1	Yeast Adrenodoxin Homolog
S000006175	YPL254W	S. cerevisiae	HFI1	Histone H2A Functional Interactor
S000006177	YPL256C	S. cerevisiae	CLN2	CycLiN
S000006179	YPL258C	S. cerevisiae	THI21	THIamine metabolism
S000006180	YPL259C	S. cerevisiae	APM1	clathrin Adaptor Protein complex Medium chain
S000006181	YPL260W	S. cerevisiae	CUB1	Cu2+ suppressing and Bleomycin sensitive
S000006183	YPL262W	S. cerevisiae	FUM1	FUMarase
S000006184	YPL263C	S. cerevisiae	KEL3	KELch
S000006185	YPL264C	S. cerevisiae		
S000006186	YPL265W	S. cerevisiae	DIP5	DIcarboxylic amino acid Permease
S000006187	YPL266W	S. cerevisiae	DIM1	DIMethylase
S000006189	YPL268W	S. cerevisiae	PLC1	PhosphoLipase C
S000006191	YPL270W	S. cerevisiae	MDL2	MultiDrug resistance-Like
S000006194	YPL273W	S. cerevisiae	SAM4	S-AdenosylMethionine metabolism
S000006195	YPL274W	S. cerevisiae	SAM3	S-AdenosylMethionine metabolism
S000006198	YPL277C	S. cerevisiae		
S000006200	YPL279C	S. cerevisiae	FEX2	
S000006201	YPL280W	S. cerevisiae	HSP32	Heat-Shock Protein
S000006202	YPL281C	S. cerevisiae	ERR2	Enolase-Related Repeat
S000006205	YPR001W	S. cerevisiae	CIT3	CITrate synthase
S000006206	YPR002W	S. cerevisiae	PDH1	prpD Homolog
S000006207	YPR003C	S. cerevisiae		
S000006208	YPR004C	S. cerevisiae	AIM45	Altered Inheritance rate of Mitochondria
S000006210	YPR006C	S. cerevisiae	ICL2	IsoCitrate Lyase
S000006214	YPR010C	S. cerevisiae	RPA135	RNA Polymerase A
S000006215	YPR011C	S. cerevisiae	MRX21	Mitochondrial oRganization of gene eXpression (MIOREX)
S000006217	YPR013C	S. cerevisiae	CMR3	Changed Mutation Rate
